Jakarta Barat (baris 2, provinsi: Daerah Khusus Ibukota Jakarta)
Kota Jakarta Timur (baris 16, provinsi: Daerah Khusus Ibukota Jakarta)
Kota Jakarta Pusat (baris 18, provinsi: Daerah Khusus Ibukota Jakarta)
Jakarta Barat (baris 19, provinsi: Daerah Khusus Ibukota Jakarta)
Jakarta (baris 22, provinsi: Daerah Khusus Ibukota Jakarta)
Jakarta Timur (baris 23, provinsi: )
Jakarta Barat (baris 24, provinsi: Daerah Khusus Ibukota Jakarta)
Kota Jakarta Barat (baris 28, provinsi: Daerah Khusus Ibukota Jakarta)
Jakarta Timur (baris 29, provinsi: Daerah Khusus Ibukota Jakarta)
Jakarta Timur (baris 30, provinsi: Daerah Khusus Ibukota Jakarta)
Jakarta Timur (baris 32, provinsi: Daerah Khusus Ibukota Jakarta)
Jakarta Pusat (baris 33, provinsi: Daerah Khusus Ibukota Jakarta)
Jakarta (baris 35, provinsi: Daerah Khusus Ibukota Jakarta)
Kota Jakarta Timur (baris 41, provinsi: Daerah Khusus Ibukota Jakarta)
Jakarta Timur (baris 48, provinsi: Daerah Khusus Ibukota Jakarta)
Kota Jakarta Pusat (baris 49, provinsi: Daerah Khusus Ibukota Jakarta)
Jakarta Barat (baris 52, provinsi: Daerah Khusus Ibukota Jakarta)
Jakarta Timur (baris 54, provinsi: Daerah Khusus Ibukota Jakarta)
Kota Jakarta Selatan (baris 60, provinsi: Daerah Khusus Ibukota Jakarta)
jakarta (baris 61, provinsi: Daerah Khusus Ibukota Jakarta)
Jakarta Timur (baris 63, provinsi: Daerah Khusus Ibukota Jakarta)
Jakarta Selatan (baris 64, provinsi: Daerah Khusus Ibukota Jakarta)
Kota Jakarta Utara (baris 65, provinsi: Daerah Khusus Ibukota Jakarta)
Kota Jakarta Timur (baris 66, provinsi: Daerah Khusus Ibukota Jakarta)
Kota Jakarta Timur (baris 68, provinsi: Daerah Khusus Ibukota Jakarta)
Kota Jakarta Barat (baris 69, provinsi: Daerah Khusus Ibukota Jakarta)
Jakarta Timur (baris 72, provinsi: Daerah Khusus Ibukota Jakarta)
Jakarta Timur (baris 73, provinsi: Daerah Khusus Ibukota Jakarta)
Kota Jakarta Selatan (baris 74, provinsi: Daerah Khusus Ibukota Jakarta)
Kota Jakarta Utara (baris 76, provinsi: Daerah Khusus Ibukota Jakarta)
Kota Jakarta Timur (baris 77, provinsi: Daerah Khusus Ibukota Jakarta)
Jakarta Selatan (baris 79, provinsi: Daerah Khusus Ibukota Jakarta)
Kota Jakarta Pusat (baris 80, provinsi: Daerah Khusus Ibukota Jakarta)
Kab. Nabire (baris 82, provinsi: Papua)
Kota Jakarta Timur (baris 87, provinsi: Daerah Khusus Ibukota Jakarta)
Jakarta Timur (baris 88, provinsi: Daerah Khusus Ibukota Jakarta)
Kota Jakarta Barat (baris 89, provinsi: Daerah Khusus Ibukota Jakarta)
Jakarta Utara (baris 90, provinsi: Daerah Khusus Ibukota Jakarta)
Jakarta Timur (baris 93, provinsi: Daerah Khusus Ibukota Jakarta)
Kota Jakarta Timur (baris 94, provinsi: Daerah Khusus Ibukota Jakarta)
JAKARTA SELATAN (baris 97, provinsi: Daerah Khusus Ibukota Jakarta)
Kota Jakarta Timur (baris 99, provinsi: Daerah Khusus Ibukota Jakarta)
jakarta Barat (baris 100, provinsi: Daerah Khusus Ibukota Jakarta)
Bekasi Timur (baris 101, provinsi: )
Kota Jakarta Timur (baris 102, provinsi: Daerah Khusus Ibukota Jakarta)
Kota Jakarta Timur (baris 104, provinsi: Daerah Khusus Ibukota Jakarta)
Kota Jakarta Barat (baris 107, provinsi: Daerah Khusus Ibukota Jakarta)
Kota Jakarta Barat (baris 111, provinsi: Daerah Khusus Ibukota Jakarta)
Jakarta Utara (baris 135, provinsi: Daerah Khusus Ibukota Jakarta)
Jakarta Barat (baris 145, provinsi: Daerah Khusus Ibukota Jakarta)
Kota Jakarta Selatan (baris 229, provinsi: Daerah Khusus Ibukota Jakarta)
Kab. Merauke (baris 285, provinsi: Papua)
Tapanuli Utara/Tarutung (baris 326, provinsi: Sumatera Utara)
Tapanuli Utara/ Tarutung (baris 347, provinsi: Sumatera Utara)
Tapanuli Utara/ Tarutung (baris 354, provinsi: Sumatera Utara)
Tapanuli Utara/ Tarutung (baris 356, provinsi: Sumatera Utara)
Tapanuli Utara/ Tarutung (baris 376, provinsi: Sumatera Utara)
Kota Jakarta Timur (baris 379, provinsi: Daerah Khusus Ibukota Jakarta)
Batam (baris 422, provinsi: Sumatera Utara)
Kota Jakarta Timur (baris 613, provinsi: Daerah Khusus Ibukota Jakarta)
Kota Jakarta Timur (baris 662, provinsi: Daerah Khusus Ibukota Jakarta)
